Health District,Lab Report Date,Number of PCR Testing Encounters,Number of Positive PCR Testing Encounters,Percentage of +ve PCR tests,Percentage of total tests given were PCR tests,Total Number of Positive Testing Encounters,Total Number of Testing Encounters
West Piedmont,4/10/2020,37,3,8.108108108,100,3,37
Western Tidewater,4/10/2020,36,7,19.444444444,100,7,36
Alexandria,4/11/2020,89,33,37.078651685,100,33,89
Alleghany,4/11/2020,11,0,0,100,0,11
Arlington,4/11/2020,84,29,34.523809524,100,29,84
Central Shenandoah,4/11/2020,27,11,40.740740741,100,11,27
Central Virginia,4/11/2020,36,3,8.333333333,100,3,36
Chesapeake,4/11/2020,45,4,8.888888889,100,4,45
Chesterfield,4/11/2020,115,20,17.391304348,100,20,115
Chickahominy,4/11/2020,50,7,14,100,7,50
Crater,4/11/2020,50,14,28,100,14,50
Cumberland Plateau,4/11/2020,40,0,0,100,0,40
Eastern Shore,4/11/2020,12,1,8.333333333,100,1,12
Fairfax,4/11/2020,380,94,24.736842105,100,94,380
Hampton,4/11/2020,26,8,30.769230769,100,8,26
Henrico,4/11/2020,178,30,16.853932584,100,30,178
Lenowisco,4/11/2020,28,3,10.714285714,100,3,28
Lord Fairfax,4/11/2020,56,4,7.142857143,100,4,56
Loudoun,4/11/2020,92,18,19.565217391,100,18,92
Mount Rogers,4/11/2020,47,3,6.382978723,100,3,47
New River,4/11/2020,67,13,19.402985075,100,13,67
Norfolk,4/11/2020,27,2,7.407407407,100,2,27
Out of State,4/11/2020,50,7,14,100,7,50
Peninsula,4/11/2020,94,21,22.340425532,100,21,94
Piedmont,4/11/2020,23,6,26.086956522,100,6,23
Pittsylvania-Danville,4/11/2020,15,0,0,100,0,15
Portsmouth,4/11/2020,20,6,30,100,6,20
Prince William,4/11/2020,183,54,29.508196721,100,54,183
Rappahannock,4/11/2020,91,17,18.681318681,100,17,91
Rappahannock Rapidan,4/11/2020,53,5,9.433962264,100,5,53
Richmond,4/11/2020,100,13,13,100,13,100
Roanoke,4/11/2020,51,1,1.960784314,100,1,51
Southside,4/11/2020,20,5,25,100,5,20
Thomas Jefferson,4/11/2020,38,6,15.789473684,100,6,38
Three Rivers,4/11/2020,34,2,5.882352941,100,2,34
Unknown,4/11/2020,6,3,50,100,3,6
Virginia Beach,4/11/2020,85,11,12.941176471,100,11,85
West Piedmont,4/11/2020,9,0,0,100,0,9
Western Tidewater,4/11/2020,34,8,23.529411765,100,8,34
Alexandria,4/12/2020,43,16,37.209302326,100,16,43
Alleghany,4/12/2020,15,3,20,100,3,15
Arlington,4/12/2020,54,13,24.074074074,100,13,54
Central Shenandoah,4/12/2020,60,23,38.333333333,100,23,60
Central Virginia,4/12/2020,37,2,5.405405405,100,2,37
Chesapeake,4/12/2020,76,12,15.789473684,100,12,76
Chesterfield,4/12/2020,91,20,21.978021978,100,20,91
Chickahominy,4/12/2020,41,13,31.707317073,100,13,41
Crater,4/12/2020,41,9,21.951219512,100,9,41
Cumberland Plateau,4/12/2020,55,11,20,100,11,55
Eastern Shore,4/12/2020,8,0,0,100,0,8
Fairfax,4/12/2020,274,78,28.467153285,100,78,274
Hampton,4/12/2020,39,3,7.692307692,100,3,39
Henrico,4/12/2020,120,30,25,100,30,120
Lenowisco,4/12/2020,17,3,17.647058824,100,3,17
Lord Fairfax,4/12/2020,58,6,10.344827586,100,6,58
Loudoun,4/12/2020,49,13,26.530612245,100,13,49
Mount Rogers,4/12/2020,67,3,4.477611940,100,3,67
New River,4/12/2020,79,2,2.531645570,100,2,79
Norfolk,4/12/2020,46,7,15.217391304,100,7,46
Out of State,4/12/2020,40,11,27.5,100,11,40
Peninsula,4/12/2020,91,13,14.285714286,100,13,91
Piedmont,4/12/2020,30,4,13.333333333,100,4,30
Pittsylvania-Danville,4/12/2020,16,2,12.5,100,2,16
Portsmouth,4/12/2020,25,3,12,100,3,25
Prince William,4/12/2020,119,40,33.613445378,100,40,119
Rappahannock,4/12/2020,84,13,15.476190476,100,13,84
Rappahannock Rapidan,4/12/2020,56,4,7.142857143,100,4,56
Richmond,4/12/2020,48,9,18.75,100,9,48
Roanoke,4/12/2020,31,1,3.225806452,100,1,31
Southside,4/12/2020,30,8,26.666666667,100,8,30
Thomas Jefferson,4/12/2020,53,5,9.433962264,100,5,53
Three Rivers,4/12/2020,25,2,8,100,2,25
Unknown,4/12/2020,4,1,25,100,1,4
Virginia Beach,4/12/2020,136,8,5.882352941,100,8,136
West Piedmont,4/12/2020,18,0,0,100,0,18
Western Tidewater,4/12/2020,68,17,25,100,17,68
Alexandria,4/13/2020,47,10,21.276595745,100,10,47
Alleghany,4/13/2020,6,0,0,100,0,6
Arlington,4/13/2020,36,14,38.888888889,100,14,36
Central Shenandoah,4/13/2020,45,24,53.333333333,100,24,45
Central Virginia,4/13/2020,16,0,0,100,0,16
Chesapeake,4/13/2020,37,4,10.810810811,100,4,37
Chesterfield,4/13/2020,141,14,9.929078014,100,14,141
Chickahominy,4/13/2020,53,12,22.641509434,100,12,53
Crater,4/13/2020,35,10,28.571428571,100,10,35
Cumberland Plateau,4/13/2020,13,0,0,100,0,13
Eastern Shore,4/13/2020,2,0,0,100,0,2
Fairfax,4/13/2020,222,72,32.432432432,100,72,222
Hampton,4/13/2020,14,1,7.142857143,100,1,14
Henrico,4/13/2020,138,16,11.594202899,100,16,138
Lenowisco,4/13/2020,3,1,33.333333333,100,1,3
Lord Fairfax,4/13/2020,23,3,13.043478261,100,3,23
Loudoun,4/13/2020,51,22,43.137254902,100,22,51
Mount Rogers,4/13/2020,8,2,25,100,2,8
New River,4/13/2020,17,2,11.764705882,100,2,17
Norfolk,4/13/2020,34,2,5.882352941,100,2,34
Out of State,4/13/2020,69,12,17.391304348,100,12,69
Peninsula,4/13/2020,65,9,13.846153846,100,9,65
Piedmont,4/13/2020,15,1,6.666666667,100,1,15
Pittsylvania-Danville,4/13/2020,8,1,12.5,100,1,8
Portsmouth,4/13/2020,6,1,16.666666667,100,1,6
Prince William,4/13/2020,106,49,46.226415094,100,49,106
Rappahannock,4/13/2020,138,20,14.492753623,100,20,138
Rappahannock Rapidan,4/13/2020,32,6,18.75,100,6,32
Richmond,4/13/2020,61,8,13.114754098,100,8,61
Roanoke,4/13/2020,17,0,0,100,0,17
Southside,4/13/2020,8,0,0,100,0,8
Thomas Jefferson,4/13/2020,22,2,9.090909091,100,2,22
Three Rivers,4/13/2020,32,1,3.125,100,1,32
Unknown,4/13/2020,4,2,50,100,2,4
Virginia Beach,4/13/2020,73,6,8.219178082,100,6,73
West Piedmont,4/13/2020,6,0,0,100,0,6
Western Tidewater,4/13/2020,21,5,23.809523810,100,5,21
Alexandria,4/14/2020,62,25,40.322580645,100,25,62
Alleghany,4/14/2020,6,0,0,100,0,6
Arlington,4/14/2020,52,27,51.923076923,100,27,52
Central Shenandoah,4/14/2020,35,19,54.285714286,100,19,35
Central Virginia,4/14/2020,15,1,6.666666667,100,1,15
Chesapeake,4/14/2020,37,6,16.216216216,100,6,37
Chesterfield,4/14/2020,133,18,13.533834586,100,18,133
Chickahominy,4/14/2020,90,11,12.222222222,100,11,90
Crater,4/14/2020,48,8,16.666666667,100,8,48
Cumberland Plateau,4/14/2020,19,0,0,100,0,19
Eastern Shore,4/14/2020,9,0,0,100,0,9
Fairfax,4/14/2020,320,100,31.25,99.378881988,100,322
Hampton,4/14/2020,24,8,33.333333333,100,8,24
Henrico,4/14/2020,195,28,14.358974359,100,28,195
Lenowisco,4/14/2020,25,0,0,100,0,25
Lord Fairfax,4/14/2020,59,5,8.474576271,100,5,59
Loudoun,4/14/2020,64,13,20.3125,98.461538462,13,65
Mount Rogers,4/14/2020,26,0,0,100,0,26
New River,4/14/2020,15,1,6.666666667,100,1,15
Norfolk,4/14/2020,31,4,12.903225806,100,4,31
Out of State,4/14/2020,82,12,14.634146341,100,12,82
Peninsula,4/14/2020,56,9,16.071428571,100,9,56
Piedmont,4/14/2020,27,3,11.111111111,100,3,27
Pittsylvania-Danville,4/14/2020,6,1,16.666666667,100,1,6
Portsmouth,4/14/2020,13,3,23.076923077,100,3,13
Prince William,4/14/2020,123,47,38.211382114,100,47,123
Rappahannock,4/14/2020,98,13,13.265306122,100,13,98
Rappahannock Rapidan,4/14/2020,29,6,20.689655172,100,6,29
Richmond,4/14/2020,82,10,12.195121951,100,10,82
Roanoke,4/14/2020,92,6,6.521739130,100,6,92
Southside,4/14/2020,15,1,6.666666667,100,1,15
Thomas Jefferson,4/14/2020,36,2,5.555555556,100,2,36
Three Rivers,4/14/2020,27,0,0,100,0,27
Unknown,4/14/2020,9,2,22.222222222,100,2,9
Virginia Beach,4/14/2020,66,6,9.090909091,100,6,66
West Piedmont,4/14/2020,9,1,11.111111111,100,1,9
Western Tidewater,4/14/2020,27,5,18.518518519,100,5,27
Alexandria,4/15/2020,89,24,26.966292135,100,24,89
Alleghany,4/15/2020,19,2,10.526315789,100,2,19
Arlington,4/15/2020,94,35,37.234042553,100,35,94
Central Shenandoah,4/15/2020,79,35,44.303797468,100,35,79
Central Virginia,4/15/2020,46,0,0,100,0,46
Chesapeake,4/15/2020,49,3,6.122448980,100,3,49
Chesterfield,4/15/2020,194,32,16.494845361,100,32,194
Chickahominy,4/15/2020,103,14,13.592233010,100,14,103
Crater,4/15/2020,61,19,31.147540984,100,19,61
Cumberland Plateau,4/15/2020,50,0,0,100,0,50
Eastern Shore,4/15/2020,12,5,41.666666667,100,5,12
Fairfax,4/15/2020,388,141,36.340206186,100,141,388
Hampton,4/15/2020,45,5,11.111111111,100,5,45
Henrico,4/15/2020,195,27,13.846153846,100,27,195
Lenowisco,4/15/2020,33,2,6.060606061,100,2,33
Lord Fairfax,4/15/2020,88,12,13.636363636,100,12,88
Loudoun,4/15/2020,80,18,22.5,100,18,80
Mount Rogers,4/15/2020,54,1,1.851851852,100,1,54
New River,4/15/2020,23,2,8.695652174,100,2,23
Norfolk,4/15/2020,55,6,10.909090909,100,6,55
Out of State,4/15/2020,107,28,26.168224299,100,28,107
Peninsula,4/15/2020,187,11,5.882352941,100,11,187
Piedmont,4/15/2020,37,7,18.918918919,100,7,37
Pittsylvania-Danville,4/15/2020,16,1,6.25,100,1,16
Portsmouth,4/15/2020,23,1,4.347826087,100,1,23
Prince William,4/15/2020,189,67,35.449735450,100,67,189
Rappahannock,4/15/2020,141,19,13.475177305,100,19,141
Rappahannock Rapidan,4/15/2020,58,6,10.344827586,100,6,58
Richmond,4/15/2020,99,16,16.161616162,100,16,99
Roanoke,4/15/2020,87,6,6.896551724,100,6,87
Southside,4/15/2020,23,4,17.391304348,100,4,23
Thomas Jefferson,4/15/2020,67,9,13.432835821,100,9,67
Three Rivers,4/15/2020,72,4,5.555555556,100,4,72
Unknown,4/15/2020,12,1,8.333333333,100,1,12
Virginia Beach,4/15/2020,112,7,6.25,100,7,112
West Piedmont,4/15/2020,15,0,0,100,0,15
Western Tidewater,4/15/2020,47,8,17.021276596,100,8,47
Alexandria,4/16/2020,84,34,40.476190476,100,34,84
Alleghany,4/16/2020,26,3,11.538461538,100,3,26
Arlington,4/16/2020,99,41,41.414141414,99,42,100
Central Shenandoah,4/16/2020,91,35,38.461538462,100,35,91
Central Virginia,4/16/2020,35,4,11.428571429,100,4,35
Chesapeake,4/16/2020,50,5,10,100,5,50
Chesterfield,4/16/2020,173,31,17.919075145,100,31,173
Chickahominy,4/16/2020,87,24,27.586206897,100,24,87
Crater,4/16/2020,78,7,8.974358974,100,7,78
Cumberland Plateau,4/16/2020,22,0,0,100,0,22
Eastern Shore,4/16/2020,21,11,52.380952381,100,11,21
Fairfax,4/16/2020,494,187,37.854251012,99.797979798,188,495
Hampton,4/16/2020,71,2,2.816901408,100,2,71
Henrico,4/16/2020,163,25,15.337423313,100,25,163
Lenowisco,4/16/2020,42,2,4.761904762,100,2,42
Lord Fairfax,4/16/2020,75,11,14.666666667,100,11,75
Loudoun,4/16/2020,121,20,16.528925620,100,20,121
Mount Rogers,4/16/2020,41,2,4.878048780,100,2,41
New River,4/16/2020,127,7,5.511811024,100,7,127
Norfolk,4/16/2020,44,9,20.454545455,100,9,44
Out of State,4/16/2020,98,23,23.469387755,100,23,98
Peninsula,4/16/2020,127,8,6.299212598,100,8,127
Piedmont,4/16/2020,49,3,6.122448980,100,3,49
Pittsylvania-Danville,4/16/2020,22,3,13.636363636,100,3,22
Portsmouth,4/16/2020,25,2,8,100,2,25
Prince William,4/16/2020,214,68,31.775700935,99.534883721,68,215
Rappahannock,4/16/2020,141,23,16.312056738,100,23,141
Rappahannock Rapidan,4/16/2020,64,10,15.625,100,10,64
Richmond,4/16/2020,184,18,9.782608696,100,18,184
Roanoke,4/16/2020,53,3,5.660377358,100,3,53
Southside,4/16/2020,30,3,10,100,3,30
Thomas Jefferson,4/16/2020,55,5,9.090909091,100,5,55
Three Rivers,4/16/2020,65,2,3.076923077,100,2,65
Unknown,4/16/2020,20,6,30,100,6,20
Virginia Beach,4/16/2020,119,10,8.403361345,100,10,119
West Piedmont,4/16/2020,10,2,20,100,2,10
Western Tidewater,4/16/2020,91,29,31.868131868,100,29,91
Alexandria,4/17/2020,77,28,36.363636364,98.717948718,29,78
Alleghany,4/17/2020,20,1,5,100,1,20
Arlington,4/17/2020,73,26,35.616438356,98.648648649,26,74
Central Shenandoah,4/17/2020,93,40,43.010752688,100,40,93
Central Virginia,4/17/2020,85,3,3.529411765,100,3,85
Chesapeake,4/17/2020,52,10,19.230769231,100,10,52
Chesterfield,4/17/2020,227,38,16.740088106,100,38,227
Chickahominy,4/17/2020,64,11,17.1875,100,11,64
Crater,4/17/2020,67,10,14.925373134,100,10,67
Cumberland Plateau,4/17/2020,19,0,0,100,0,19
Eastern Shore,4/17/2020,26,10,38.461538462,100,10,26
Fairfax,4/17/2020,408,150,36.764705882,99.270072993,152,411
Hampton,4/17/2020,58,3,5.172413793,100,3,58
Henrico,4/17/2020,258,50,19.379844961,100,50,258
Lenowisco,4/17/2020,22,3,13.636363636,100,3,22
Lord Fairfax,4/17/2020,75,9,12,100,9,75
Loudoun,4/17/2020,90,17,18.888888889,100,17,90
Mount Rogers,4/17/2020,30,3,10,100,3,30
New River,4/17/2020,22,1,4.545454545,100,1,22
Norfolk,4/17/2020,56,2,3.571428571,100,2,56
Out of State,4/17/2020,82,11,13.414634146,100,11,82
Peninsula,4/17/2020,99,5,5.050505051,100,5,99
Piedmont,4/17/2020,63,7,11.111111111,100,7,63
Pittsylvania-Danville,4/17/2020,80,2,2.5,100,2,80
Portsmouth,4/17/2020,22,4,18.181818182,100,4,22
Prince William,4/17/2020,241,89,36.929460581,99.586776860,90,242
Rappahannock,4/17/2020,104,19,18.269230769,100,19,104
Rappahannock Rapidan,4/17/2020,65,12,18.461538462,100,12,65
Richmond,4/17/2020,286,9,3.146853147,99.651567944,10,287
Roanoke,4/17/2020,62,3,4.838709677,100,3,62
Southside,4/17/2020,45,6,13.333333333,100,6,45
Thomas Jefferson,4/17/2020,52,1,1.923076923,100,1,52
Three Rivers,4/17/2020,54,7,12.962962963,100,7,54
Unknown,4/17/2020,7,1,14.285714286,100,1,7
Virginia Beach,4/17/2020,162,7,4.320987654,100,7,162
West Piedmont,4/17/2020,27,0,0,100,0,27
Western Tidewater,4/17/2020,60,10,16.666666667,100,10,60
Alexandria,4/18/2020,66,23,34.848484848,100,23,66
Alleghany,4/18/2020,75,7,9.333333333,100,7,75
Arlington,4/18/2020,108,44,40.740740741,99.082568807,44,109
Central Shenandoah,4/18/2020,93,32,34.408602151,100,32,93
Central Virginia,4/18/2020,90,1,1.111111111,100,1,90
Chesapeake,4/18/2020,54,8,14.814814815,100,8,54
Chesterfield,4/18/2020,115,14,12.173913043,100,14,115
Chickahominy,4/18/2020,63,20,31.746031746,100,20,63
Crater,4/18/2020,54,6,11.111111111,100,6,54
Cumberland Plateau,4/18/2020,18,0,0,100,0,18
Eastern Shore,4/18/2020,20,7,35,100,7,20
Fairfax,4/18/2020,401,133,33.167082294,99.257425743,133,404
Hampton,4/18/2020,32,0,0,100,0,32
Henrico,4/18/2020,122,14,11.475409836,100,14,122
Lenowisco,4/18/2020,17,0,0,100,0,17
Lord Fairfax,4/18/2020,74,4,5.405405405,100,4,74
Loudoun,4/18/2020,89,18,20.224719101,97.802197802,18,91
Mount Rogers,4/18/2020,41,1,2.439024390,100,1,41
New River,4/18/2020,26,1,3.846153846,100,1,26
Norfolk,4/18/2020,45,5,11.111111111,100,5,45
Out of State,4/18/2020,64,13,20.3125,100,13,64
Peninsula,4/18/2020,69,2,2.898550725,100,2,69
Piedmont,4/18/2020,43,4,9.302325581,100,4,43
Pittsylvania-Danville,4/18/2020,26,1,3.846153846,100,1,26
Portsmouth,4/18/2020,34,7,20.588235294,100,7,34
Prince William,4/18/2020,208,71,34.134615385,95.852534562,72,217
Rappahannock,4/18/2020,116,17,14.655172414,99.145299145,17,117
Rappahannock Rapidan,4/18/2020,43,6,13.953488372,100,6,43
Richmond,4/18/2020,114,22,19.298245614,100,22,114
Roanoke,4/18/2020,70,3,4.285714286,100,3,70
Southside,4/18/2020,24,3,12.5,100,3,24
Thomas Jefferson,4/18/2020,41,1,2.439024390,100,1,41
Three Rivers,4/18/2020,70,36,51.428571429,100,36,70
Unknown,4/18/2020,2,2,100,100,2,2
Virginia Beach,4/18/2020,125,3,2.4,98.425196850,3,127
West Piedmont,4/18/2020,27,2,7.407407407,100,2,27
Western Tidewater,4/18/2020,45,13,28.888888889,100,13,45
Alexandria,4/19/2020,94,38,40.425531915,100,38,94
Alleghany,4/19/2020,81,4,4.938271605,100,4,81
Arlington,4/19/2020,48,25,52.083333333,97.959183673,25,49
Central Shenandoah,4/19/2020,58,24,41.379310345,100,24,58
Central Virginia,4/19/2020,40,2,5,100,2,40
Chesapeake,4/19/2020,49,13,26.530612245,100,13,49
Chesterfield,4/19/2020,130,24,18.461538462,99.236641221,24,131
Chickahominy,4/19/2020,35,6,17.142857143,100,6,35
Crater,4/19/2020,58,12,20.689655172,100,12,58
Cumberland Plateau,4/19/2020,22,1,4.545454545,100,1,22
Eastern Shore,4/19/2020,20,8,40,100,8,20
Fairfax,4/19/2020,414,157,37.922705314,98.571428571,158,420
Hampton,4/19/2020,47,18,38.297872340,100,18,47
Henrico,4/19/2020,122,25,20.491803279,99.186991870,25,123
Lenowisco,4/19/2020,18,1,5.555555556,100,1,18
Lord Fairfax,4/19/2020,60,4,6.666666667,100,4,60
Loudoun,4/19/2020,112,30,26.785714286,99.115044248,30,113
Mount Rogers,4/19/2020,34,1,2.941176471,100,1,34
New River,4/19/2020,72,3,4.166666667,100,3,72
Norfolk,4/19/2020,46,4,8.695652174,100,4,46
Out of State,4/19/2020,47,8,17.021276596,100,8,47
Peninsula,4/19/2020,78,6,7.692307692,100,6,78
Piedmont,4/19/2020,24,1,4.166666667,100,1,24
Pittsylvania-Danville,4/19/2020,8,0,0,100,0,8
Portsmouth,4/19/2020,22,14,63.636363636,100,14,22
Prince William,4/19/2020,238,67,28.151260504,100,67,238
Rappahannock,4/19/2020,70,9,12.857142857,100,9,70
Rappahannock Rapidan,4/19/2020,75,11,14.666666667,100,11,75
Richmond,4/19/2020,45,2,4.444444444,100,2,45
Roanoke,4/19/2020,11,0,0,100,0,11
Southside,4/19/2020,21,2,9.523809524,100,2,21
Thomas Jefferson,4/19/2020,32,4,12.5,100,4,32
Three Rivers,4/19/2020,43,9,20.930232558,100,9,43
Unknown,4/19/2020,7,2,28.571428571,100,2,7
Virginia Beach,4/19/2020,88,8,9.090909091,100,8,88
West Piedmont,4/19/2020,22,0,0,100,0,22
Western Tidewater,4/19/2020,53,18,33.962264151,100,18,53
Alexandria,4/20/2020,62,25,40.322580645,98.412698413,25,63
Alleghany,4/20/2020,28,1,3.571428571,100,1,28
Arlington,4/20/2020,46,19,41.304347826,97.872340426,19,47
Central Shenandoah,4/20/2020,30,18,60,100,18,30
Central Virginia,4/20/2020,56,3,5.357142857,100,3,56
Chesapeake,4/20/2020,23,6,26.086956522,100,6,23
Chesterfield,4/20/2020,154,20,12.987012987,100,20,154
Chickahominy,4/20/2020,56,11,19.642857143,100,11,56
Crater,4/20/2020,79,5,6.329113924,100,5,79
Cumberland Plateau,4/20/2020,9,0,0,100,0,9
Eastern Shore,4/20/2020,12,9,75,100,9,12
Fairfax,4/20/2020,321,147,45.794392523,96.686746988,148,332
Hampton,4/20/2020,17,4,23.529411765,100,4,17
Henrico,4/20/2020,125,18,14.4,100,18,125
Lenowisco,4/20/2020,21,1,4.761904762,100,1,21
Lord Fairfax,4/20/2020,12,5,41.666666667,100,5,12
Loudoun,4/20/2020,49,12,24.489795918,87.5,12,56
Mount Rogers,4/20/2020,8,1,12.5,100,1,8
New River,4/20/2020,18,1,5.555555556,100,1,18
Norfolk,4/20/2020,35,6,17.142857143,100,6,35
Out of State,4/20/2020,82,15,18.292682927,100,15,82
Peninsula,4/20/2020,52,6,11.538461538,100,6,52
Piedmont,4/20/2020,34,3,8.823529412,97.142857143,3,35
Pittsylvania-Danville,4/20/2020,17,2,11.764705882,100,2,17
Portsmouth,4/20/2020,19,9,47.368421053,100,9,19
Prince William,4/20/2020,173,53,30.635838150,97.191011236,55,178
Rappahannock,4/20/2020,104,11,10.576923077,93.693693694,18,111
Rappahannock Rapidan,4/20/2020,40,13,32.5,100,13,40
Richmond,4/20/2020,82,15,18.292682927,100,15,82
Roanoke,4/20/2020,29,3,10.344827586,100,3,29
Southside,4/20/2020,20,5,25,100,5,20
Thomas Jefferson,4/20/2020,26,4,15.384615385,100,4,26
Three Rivers,4/20/2020,28,2,7.142857143,100,2,28
Unknown,4/20/2020,7,1,14.285714286,100,1,7
Virginia Beach,4/20/2020,67,4,5.970149254,100,4,67
West Piedmont,4/20/2020,9,0,0,100,0,9
Western Tidewater,4/20/2020,36,11,30.555555556,100,11,36
Alexandria,4/21/2020,54,20,37.037037037,96.428571429,20,56
Alleghany,4/21/2020,91,3,3.296703297,96.808510638,3,94
Arlington,4/21/2020,72,23,31.944444444,100,23,72
Central Shenandoah,4/21/2020,111,32,28.828828829,100,32,111
Central Virginia,4/21/2020,21,1,4.761904762,95.454545455,1,22
Chesapeake,4/21/2020,26,7,26.923076923,100,7,26
Chesterfield,4/21/2020,138,18,13.043478261,98.571428571,18,140
Chickahominy,4/21/2020,51,11,21.568627451,100,11,51
Crater,4/21/2020,57,3,5.263157895,100,3,57
Cumberland Plateau,4/21/2020,21,0,0,100,0,21
Eastern Shore,4/21/2020,20,10,50,100,10,20
Fairfax,4/21/2020,399,159,39.849624060,99.501246883,159,401
Hampton,4/21/2020,16,3,18.75,100,3,16
Henrico,4/21/2020,154,15,9.740259740,100,15,154
Lenowisco,4/21/2020,15,3,20,100,3,15
Lord Fairfax,4/21/2020,83,12,14.457831325,100,12,83
Loudoun,4/21/2020,153,31,20.261437908,99.350649351,31,154
Mount Rogers,4/21/2020,17,0,0,94.444444444,0,18
New River,4/21/2020,31,0,0,100,0,31
Norfolk,4/21/2020,20,5,25,100,5,20
Out of State,4/21/2020,122,8,6.557377049,100,8,122
Peninsula,4/21/2020,45,3,6.666666667,100,3,45
Piedmont,4/21/2020,40,3,7.5,100,3,40
Pittsylvania-Danville,4/21/2020,7,1,14.285714286,100,1,7
Portsmouth,4/21/2020,13,7,53.846153846,100,7,13
Prince William,4/21/2020,234,81,34.615384615,99.152542373,81,236
Rappahannock,4/21/2020,85,15,17.647058824,95.505617978,17,89
Rappahannock Rapidan,4/21/2020,42,11,26.190476190,100,11,42
Richmond,4/21/2020,120,8,6.666666667,100,8,120
Roanoke,4/21/2020,92,5,5.434782609,96.842105263,6,95
Southside,4/21/2020,27,2,7.407407407,100,2,27
Thomas Jefferson,4/21/2020,69,11,15.942028986,100,11,69
Three Rivers,4/21/2020,21,3,14.285714286,100,3,21
Unknown,4/21/2020,5,2,40,83.333333333,3,6
Virginia Beach,4/21/2020,68,5,7.352941176,100,5,68
West Piedmont,4/21/2020,4,1,25,100,1,4
Western Tidewater,4/21/2020,209,36,17.224880383,100,36,209
Alexandria,4/22/2020,99,49,49.494949495,92.523364486,50,107
Alleghany,4/22/2020,298,5,1.677852349,100,5,298
Arlington,4/22/2020,123,43,34.959349593,98.4,43,125
Central Shenandoah,4/22/2020,121,47,38.842975207,99.180327869,47,122
Central Virginia,4/22/2020,98,8,8.163265306,100,8,98
Chesapeake,4/22/2020,107,8,7.476635514,100,8,107
Chesterfield,4/22/2020,258,25,9.689922481,94.505494505,26,273
Chickahominy,4/22/2020,91,10,10.989010989,71.653543307,10,127
Crater,4/22/2020,131,16,12.213740458,98.496240602,16,133
Cumberland Plateau,4/22/2020,53,0,0,100,0,53
Eastern Shore,4/22/2020,69,36,52.173913043,98.571428571,37,70
Fairfax,4/22/2020,566,218,38.515901060,93.553719008,220,605
Hampton,4/22/2020,126,12,9.523809524,100,12,126
Henrico,4/22/2020,284,46,16.197183099,87.925696594,46,323
Lenowisco,4/22/2020,78,3,3.846153846,98.734177215,3,79
Lord Fairfax,4/22/2020,96,11,11.458333333,97.959183673,11,98
Loudoun,4/22/2020,133,41,30.827067669,88.666666667,41,150
Mount Rogers,4/22/2020,41,3,7.317073171,100,3,41
New River,4/22/2020,26,3,11.538461538,83.870967742,3,31
Norfolk,4/22/2020,72,8,11.111111111,81.818181818,10,88
Out of State,4/22/2020,101,16,15.841584158,100,16,101
Peninsula,4/22/2020,149,10,6.711409396,96.753246753,11,154
Piedmont,4/22/2020,77,14,18.181818182,100,14,77
Pittsylvania-Danville,4/22/2020,32,6,18.75,96.969696970,6,33
Portsmouth,4/22/2020,50,8,16,100,8,50
Prince William,4/22/2020,289,98,33.910034602,91.455696203,103,316
Rappahannock,4/22/2020,192,18,9.375,91.428571429,20,210
Rappahannock Rapidan,4/22/2020,109,29,26.605504587,98.198198198,29,111
Richmond,4/22/2020,154,8,5.194805195,98.089171975,8,157
Roanoke,4/22/2020,69,10,14.492753623,100,10,69
Southside,4/22/2020,190,7,3.684210526,100,7,190
Thomas Jefferson,4/22/2020,75,6,8,91.463414634,6,82
Three Rivers,4/22/2020,155,23,14.838709677,98.726114650,23,157
Unknown,4/22/2020,13,4,30.769230769,92.857142857,4,14
Virginia Beach,4/22/2020,201,18,8.955223881,99.014778325,18,203
West Piedmont,4/22/2020,30,3,10,100,3,30
Western Tidewater,4/22/2020,89,31,34.831460674,100,31,89
Alexandria,4/23/2020,100,42,42,78.740157480,44,127
Alleghany,4/23/2020,213,5,2.347417840,99.532710280,5,214
Arlington,4/23/2020,112,55,49.107142857,83.582089552,58,134
Central Shenandoah,4/23/2020,87,23,26.436781609,94.565217391,24,92
Central Virginia,4/23/2020,96,8,8.333333333,100,8,96
Chesapeake,4/23/2020,91,7,7.692307692,100,7,91
Chesterfield,4/23/2020,201,32,15.920398010,86.637931034,33,232
Chickahominy,4/23/2020,53,7,13.207547170,65.432098765,7,81
Crater,4/23/2020,74,17,22.972972973,94.871794872,17,78
Cumberland Plateau,4/23/2020,22,0,0,95.652173913,1,23
Eastern Shore,4/23/2020,69,42,60.869565217,100,42,69
Fairfax,4/23/2020,577,200,34.662045061,83.261183261,214,693
Hampton,4/23/2020,212,14,6.603773585,99.530516432,14,213
Henrico,4/23/2020,231,28,12.121212121,76.237623762,28,303
Lenowisco,4/23/2020,42,1,2.380952381,97.674418605,1,43
Lord Fairfax,4/23/2020,95,17,17.894736842,98.958333333,17,96
Loudoun,4/23/2020,89,23,25.842696629,59.731543624,25,149
Mount Rogers,4/23/2020,37,0,0,92.5,0,40
New River,4/23/2020,29,1,3.448275862,74.358974359,1,39
Norfolk,4/23/2020,186,11,5.913978495,99.465240642,12,187
Out of State,4/23/2020,95,6,6.315789474,100,6,95
Peninsula,4/23/2020,264,17,6.439393939,96.350364964,19,274
