Timestamp,"What kind of pet is this (Dog, Cat, Bird, Other)","Pet's Full Name (you don't have to include your last name. Think ""Winston Churchill"" and not ""Winston Churchill MYLASTNAME"")","Pet's everyday name (e.g. ""Church"")",Pet's age,Pet's breed (if applicable)
7/21/2019 18:16:43,Dog,Jasper,Jasper,10,Miniature labradoodle
7/21/2019 18:16:43,Cat,Tabitha,Tabber,8,
7/21/2019 18:16:59,Dog,Shadow Montgomery,Lovebug,2,Golden Retreiver
7/21/2019 18:17:03,Fish,Vitale Male the hot tamale who has a cooking show with Mario Batale ,Vitale,1,Beta 
7/21/2019 18:17:04,Cat,Ramona,Meemo,4,
7/21/2019 18:17:12,Dog,Scout,Scout,14,Beagle 
7/21/2019 18:17:18,Cat,Cocoa,"Cokes, Nuts, Cocoa",12,Tuxedo shorthair
7/21/2019 18:17:19,Cat,Napoleon,Deviled egg,2,
7/21/2019 18:17:20,Dog,Libby,Libby,12,Golden retriever 
7/21/2019 18:17:22,Dog,Jasper Tucker Oaf,Jasper,11,Black Lab
7/21/2019 18:17:25,Cat,Clarissa Fluffnugget,Clary,2,Domestic Long Hair
7/21/2019 18:17:25,Dog,Tazmanian Devik,Taz,9,Mutt
7/21/2019 18:17:34,Dog,Iggy Pup,Iggy,4 months ,Miniature double doodle 
7/21/2019 18:17:37,Dog,Lilly,Lilly,12,Labrador retriever
7/21/2019 18:17:39,Dog ,Furrdinand ,Furrdie ,10,Pomeranian 
7/21/2019 18:17:43,Dog,Monster Mayhem,Doodle,8,Dachshund 
7/21/2019 18:17:47,Dog ,Watson,Watson ,6,Labrador retriever 
7/21/2019 18:17:47,Dog,Shine,Shine,12,Mix hound
7/21/2019 18:17:52,Dog,Freeney Schnurpel,Freenster,13,Shih Tzu
7/21/2019 18:18:04,Dog,Bella Jean,Bella,No longer with us :(,Chihuahua/yorkie mix 
7/21/2019 18:18:08,Dog,Ratchet,Ratchie,5,Pug/Dachshund 
7/21/2019 18:18:11,Dog,Clifford,Clifford,4,Clumber spaniel
7/21/2019 18:18:16,Dog,Goose,Gooby,1,Rat Terrier Mix
7/21/2019 18:18:24,Cat!,Cricket,"Crickby, Cringus, Don Crickles, etc.",I think he's around 7 or 8,Domestic Longhair
7/21/2019 18:18:24,Dog,Magnus,Munchkin,7,Carin Terrier 
7/21/2019 18:18:25,Cat,Baby Kitty,Baby Kitty,7,Kitty cat
7/21/2019 18:18:25,Dog ,Shiloh’s Dixie Skye,Dixie ,8,Mini schnauzer 
7/21/2019 18:18:29,Dog,Bootsie,BootsToots,17,Trrrier mixed 
7/21/2019 18:18:29,Cat,Bowie,Kitty boy ,8 months ,Tuxedo cat
7/21/2019 18:18:35,Dog,Mindy ,Mindy,10,Black lab 
7/21/2019 18:18:43,Dog,Spock,Spock,7,Mix
7/21/2019 18:18:44,Dog,Merlin,Mer-dog,12,Chesapeake bay retriever 
7/21/2019 18:18:51,dog,Sylvia Plath,Sylvia,3,German Shorthaired Pointer
7/21/2019 18:18:51,Dog ,Smokey Neyland,Smo ,9,Schnoodle 
7/21/2019 18:18:51,Dog,Rufus Tee Hilderbrec,Rufus,11,shih tzu
7/21/2019 18:18:52,Dog,Baillie,B or B-Dog,7,Border collie
7/21/2019 18:18:53,Dog,Sebastian,Bash,4 months,Maltipoo
7/21/2019 18:18:57,Cat,Mika Joe,Mika,9 years,Siamese
7/21/2019 18:19:10,Dog,Tess,Tess,13,Border collie cross
7/21/2019 18:19:15,Dog,Zorro,Z,8,Long-haired Chihuahua
7/21/2019 18:19:17,Dog,Deacon ,Deac ,11,Chesapeake bay retriever 
7/21/2019 18:19:36,Cat,Sir charles chickenhock chaplin the teleporting dot,Charlie,11,
7/21/2019 18:19:39,Cat,Ally,Al,4,Cat
7/21/2019 18:19:41,Rabbit,Gandalf,Gandalf,10,Lionhead
7/21/2019 18:19:41,Cat,Lucas Adam Wilkins,Luke,10,Tabby
7/21/2019 18:19:54,Dog,Robert Ferguson Mooney,Bobby,6,Golden retriever 
7/21/2019 18:19:58,Dog,James buchanan barnes,Bucky,2,
7/21/2019 18:20:04,Dog,Buddy Boy,Buddy,16,Cocker spaniel 
7/21/2019 18:20:17,Cat,Cleo,Dump,2,Cat
7/21/2019 18:20:26,Dog,Belle Watling,Belle,2,Maltese
7/21/2019 18:20:32,Dog,Magladon wagladon,Maggie,1,Old English sheepdog
7/21/2019 18:20:38,Dog,Bella,Bella,14,
7/21/2019 18:20:42,Horse,Half pint,Half pint ,6,
7/21/2019 18:20:43,Cat,Leah Suji Wilkins,The Squeak aka Squeakerfish,10,Tabby
7/21/2019 18:20:53,Dog,Sophie,Sophie,11,Golden retriever 
7/21/2019 18:20:56,Cat,Mitsy,Mitsy,4,
7/21/2019 18:20:57,Dog,Stewart Little,Stewie ,16, Pomeranian 
7/21/2019 18:21:00,Dog,Sadie,Sadie,11 Months,Golden Retriever
7/21/2019 18:21:01,Dog,Ashley Wilkes,Ash,11,Yorkie Poodle
7/21/2019 18:21:03,Cow,Daisy the cow,Daisy,3,
7/21/2019 18:21:07,Dog,Oliver Jospeh Andrew,Oliver,11-12 (deceased),Golden Mix
7/21/2019 18:21:15,Dog,Rhett,Rhetters,12,English springer spaniel 
7/21/2019 18:21:15,Cat,Emma May Wilkins,Emma,4,Tortie
7/21/2019 18:21:22,Cat,Hashtag Anamara Mainecoon,Hashtag,Six,Maine Coon
7/21/2019 18:21:22,Fish ,Caroline Gravel,Gravel,2,Betta fish
7/21/2019 18:21:23,Dog,Lily,Lil,5 years,Golden Retriever
7/21/2019 18:21:28,Cat,Arthur Fonzarelli,Fonzie ,12,Part Maine coon
7/21/2019 18:21:30,Cat,Vriska Serket,Vriska,8,Domestic Short Hair
7/21/2019 18:21:31,Cat ,Fabio ,Fabio,3,
7/21/2019 18:21:35,Dog,Cookie,CookieMonster,8,Shihtzu
7/21/2019 18:21:36,Dog,Brutus ,Brutus,10,Great white pyrenees/yellow lab
7/21/2019 18:21:41,Dog ,Ralph ,Ralph ,4 months ,Golden retriever 
7/21/2019 18:21:44,Dog,Kurt,Kurtis,2,Black mouth cur 
7/21/2019 18:21:46,Dog,Lyra Cristina,Lyra,9 mos,Mixed breed
7/21/2019 18:21:52,Dog,Bailey bear,Bay girl,6,Lab and German shepherd mix
7/21/2019 18:21:54,Dog,Brooklyn,Brooklyn,Two,Beagle
7/21/2019 18:21:56,Cat,Isabelle,Izzy,11,Tortoise shell
7/21/2019 18:21:58,Dog,Champion Craig,Champ,14,Beagle mix 
7/21/2019 18:21:59,Cat,Kelly,Kelly,She died at age 13 in 2005 :(,
7/21/2019 18:22:03,Dog,Lennox,Lenny ,4,Shihtzu
7/21/2019 18:22:11,Dog,Sullivan Otis,Sulley ,10,Catahoula Leopard
7/21/2019 18:22:11,cat,oreo vanilla cookie ,nene,11,
7/21/2019 18:22:14,Cat,Chessie ,Chess,12 years,Siamese
7/21/2019 18:22:18,Dog ,Hank,Hanky panky,1,Black mouth cur 
7/21/2019 18:22:20,Dog,Allie Nichols,Allie,5,Mutt
7/21/2019 18:22:22,Dog,Lila,Lila,5,Newfoundland 
7/21/2019 18:22:26,Cat,Bubbles,Bubs,11 years,Chartreux
7/21/2019 18:22:28,Dog,Liberty Louise,Libby,9,English Springer Spaniel
7/21/2019 18:22:29,Cat,Sushi Charrito,Sush,2 years,Tuxedo cat
7/21/2019 18:22:31,Cat,Mouse,MousePotato,3,
7/21/2019 18:22:32,Cat,Kate,Katie,19,Tortie/Tortishell
7/21/2019 18:22:34,Dog,Jimmy,JimmyJamSunshineMan,5,Shihtzu
7/21/2019 18:22:38,dog,Rocky,Rocko,9,rottweiler
7/21/2019 18:22:47,Dog,Sheldon Michael ,Shel,7,Westin/min pin
7/21/2019 18:22:47,Dog,Jackson,Pupper,3,Australian blue cattle dog
7/21/2019 18:22:51,Cat,Midnight,Keek,19,American Shorthair 
7/21/2019 18:22:53,Dog,Maxwell Amos,Max,10,Catahoula Leopard 
7/21/2019 18:22:59,cat,angelina ,whitey,5,
7/21/2019 18:23:01,Dog,Margaret Lewis,Maggie,11,Mutt
7/21/2019 18:23:02,Dog,ginger ,Geeper Creeper,10,Golden mix
7/21/2019 18:23:02,Virus,Johannes venereal Versmear,Venny,2 weeks,
7/21/2019 18:23:03,Dog,Gator,Tate ,8,Rottweiler/Irish setter
7/21/2019 18:23:05,Dog,Badger,Badger,12,Dachshund 
7/21/2019 18:23:05,Dog,Beauregard,Beau,22 yesrs,Golden Retriever
7/21/2019 18:23:05,Dog,Buffy,Buffy and/or Buffalo,8,Beagle/jack russell/cow ;)
7/21/2019 18:23:05,dog,duque,duque,1,mixes
7/21/2019 18:23:06,Dog,Mika,Mika,5,Husky
7/21/2019 18:23:21,Dog,Scarlett ,Little Girl,8,Boarder Collie
7/21/2019 18:23:21,Dog,Macy,Macy,11,Golden Retriever Mix
7/21/2019 18:23:22,Dog,Gromit Walker,Gromit,8,Golden retriever 
7/21/2019 18:23:22,Cat,Ms. Kitty,Ms. Kitty,16?,
7/21/2019 18:23:25,Dog,Gracie Lou Freebush ,Gracie,9,Black Lab/Angel 
7/21/2019 18:23:25,Dog,River,River,14 weeks,Husky
7/21/2019 18:23:27,Ferret,Leo,LeHOE,1,
7/21/2019 18:23:40,Dog,Olaf,Olaf,4,Chihuahua
7/21/2019 18:23:41,Dog,Buttons,Buttons (sometimes with a french accent),2,Beagle
7/21/2019 18:23:43,Dog ,Stevie James,Steve,9,Maltipoo 
7/21/2019 18:23:45,Dog,Mila,Crusty,14,Rottweiler Mix
7/21/2019 18:23:45,Dog,Murphy ,Murph ,5 yesrs,Golden Retriever 
7/21/2019 18:23:47,cat,tiger,tiggy,5,
7/21/2019 18:23:47,Cat,Edna Lou,Breadna,5,
7/21/2019 18:23:47,Cat,Princess Purdy ,Purdy,11,Domestic long hair
7/21/2019 18:23:56,Cat,Squidward ,Squid,1,Domestic shorthair 
7/21/2019 18:24:04,Dog,Oscar the Amazing VelcroDog,Oscar,12,Terrier Mix
7/21/2019 18:24:05,Dog,Poppy,Poppy,4,Shih Tzu
7/21/2019 18:24:07,cat,daisy dukerson,daisy,5,
7/21/2019 18:24:13,Cat,Tigger,Tigger,17,Tabby 
7/21/2019 18:24:22,cat,bubbles,bubby,6,
7/21/2019 18:24:27,Cat,Prince Charlie ,Charlie,11,Domestic long hair 
7/21/2019 18:24:36,Dog,Ellie Mae,Ellie,13,Cocker spaniel
7/21/2019 18:24:37,Dog,Snowy,Snow,11,Shih Tzu
7/21/2019 18:24:43,Dog,Bruno,Bruno,4,Border Collie
7/21/2019 18:24:50,Cat,Twitch,Twitch,11,Domestic Shorthair
7/21/2019 18:24:54,Mona,Mona,Mona,Died at 12 in 2002,Bluetick beagle
7/21/2019 18:24:59,cat,harley davidson,har mar,9,
7/21/2019 18:25:07,Cat,Ted Kennedy ,Teddy,1,Domestic shorthair 
7/21/2019 18:25:16,Dog,Yaz,Yazzy,11,Golden retriever/border collie
7/21/2019 18:25:24,Dog,Princess Leia Organa,Princess,Dead,Mutt
7/21/2019 18:25:28,Dog,Oakley ,"Oak, oakey-doke",3,Shih Tzu
7/21/2019 18:25:37,Dog,Tinkerbell ,Tinky,4,Chihuahua 
7/21/2019 18:25:38,Cat,Bella,Bella,4,Maine Coon mix 
7/21/2019 18:25:40,Cat,Fup ,Fup,10,N/a
7/21/2019 18:25:48,Dog,Beckett,Beckett or Becky,9,Golden retriever 
7/21/2019 18:25:54,Cat,Fudge,Fubdge,3,Ginger
7/21/2019 18:25:56,Cat,Lady Luck,Lucky,11,Domestic Shorthair
7/21/2019 18:26:03,Cat,Moose,Moose,4,Maine Coon mix
7/21/2019 18:26:17,Dog,Logan,Logan,10,Black lab
7/21/2019 18:26:19,Dog,Daisy Grace,Daisy,8,Mix
7/21/2019 18:26:24,Cat,Leela,The Cat,10,Domestic Short Hair
7/21/2019 18:26:43,Cat,Ellie,Ellie-phant,9,Calico
7/21/2019 18:26:45,Cat,Her Royal Highness the Princess Blaze,Blaze,9,Domestic Shorthair 
7/21/2019 18:27:03,Cat,Phillipe Robert Jean Luc Tugboat “Toot! Toot!”,Phillipe,4,Manx cat
7/21/2019 18:27:12,Cat,Alexander DapperCat,Alex,9,Domestic Shorthair 
7/21/2019 18:27:21,Dog,Lila Betterhalf ,Lila,13,Greyhound 
7/21/2019 18:27:24,Cat,Darling,Baby Girl,14,Manx cat
7/21/2019 18:27:25,Cat,Smokey,Mr Moke,12,British Shorthair
7/21/2019 18:27:41,Cat,Jezebel ,Jez,14,Himalayan
7/21/2019 18:27:44,Dog,Tula Jean,Tula,1,
7/21/2019 18:27:49,Cat ,Edison D. Cat,Eddie,9,Domestic Shorthair 
7/21/2019 18:27:51,Cat ,Redford,Rasa,12,
7/21/2019 18:27:55,Dog,Odin,Odin,1,Mix
7/21/2019 18:27:58,Dog,Annie Piker,Annie,8,Greyhound 
7/21/2019 18:28:00,Dog,Rusty,Rusty,4,Golden Retriever
7/21/2019 18:28:06,Cat,Thomas ,“Tom” “Old Man”,18,Domestic Shorthair 
7/21/2019 18:28:16,Cat,Fleckchen,Monster,7,European Shorthair
7/21/2019 18:28:19,Dog,Stella Luna,Stella,4,Lab mix
7/21/2019 18:28:23,Cat,Fay Fuller,Fay,14 weeks,
7/21/2019 18:28:26,Dog,Pancho Villa,Pacho,12,Pug
7/21/2019 18:28:34,Dog,Waldo,Waldo,9,Cockapoo
7/21/2019 18:28:42,,,,,
7/21/2019 18:28:45,Cat,Luna,Kuschelmaus,8,European Shorthair
7/21/2019 18:28:48,Dog,Yadier,Yadi,4,Golden Retriever
7/21/2019 18:29:06,Robot,DJ Roomba ,DJ Roomba ,,
7/21/2019 18:29:10,Dog,Ruby Gem,Ruby,4,Terrier mix
7/21/2019 18:29:11,Dog,BuddyGus,Buddy or Boo,20 months,Golden Retriever
7/21/2019 18:29:13,Dog,Homer ,Homie,5,Springer Spaniel 
7/21/2019 18:29:15,Dog,Pippie,Pippie or Pippo,2,Pit bull/ Bassett hound mix
7/21/2019 18:29:19,Dog,Parker,,6,Beagle
7/21/2019 18:29:20,Dog,Chipper Doodle,Chip,12,Chocolate Lab
7/21/2019 18:29:21,Dog,Jack,Jack,7,Labrador Retriever
7/21/2019 18:29:26,Dog,"Xena, Warrior Pinscher ",Xena,14,Miniature Pinscher
7/21/2019 18:29:35,Dog,Gabby,Gabby,2,Golden Retriever
7/21/2019 18:29:44,Dog,Rosebud,Rosie,10,Beagle
7/21/2019 18:29:57,Dog,Cooper,Coopee ,10,YorkiePoo
7/21/2019 18:30:01,Dog,Shakota,Shakota,12,Siberian Husky
7/21/2019 18:30:09,Dog,Wilbur,Wilby,7,French/English Bulldog 
7/21/2019 18:30:11,Dog,Finn T. Dog,Finn,5 months,Weimaraner 
